Station_name	Instrument	Component	P_phase_onset	P_phase_descriptor	First_Motion	Date	Hourmin	Seconds	GAU	Err	Coda_duration	Amplitude	Period
CEST	?	?	?	P	?	20220201	0230	33.940	GAU	7.50E-03	-1.00E+00	26100000.0	-1.00E+00
CEST	?	?	?	S	?	20220201	0230	35.990	GAU	7.50E-03	-1.00E+00	26100000.0	-1.00E+00
SALF	?	?	?	P	?	20220201	0230	36.350	GAU	5.00E-03	-1.00E+00	4470000000.0	-1.00E+00
SALF	?	?	?	S	?	20220201	0230	40.140	GAU	1.50E-02	-1.00E+00	17900000000.0	-1.00E+00
GENF	?	?	?	P	?	20220201	0230	36.800	GAU	2.50E-03	-1.00E+00	10300000.0	-1.00E+00
GENF	?	?	?	S	?	20220201	0230	41.080	GAU	7.50E-03	-1.00E+00	19200000.0	-1.00E+00
CARF	?	?	?	S	?	20220201	0230	47.890	GAU	1.00E-02	-1.00E+00	3680000000.0	-1.00E+00
VALC	?	?	?	S	?	20220201	0230	46.400	GAU	1.50E-02	-1.00E+00	9520000.0	-1.00E+00

Station_name	Instrument	Component	P_phase_onset	P_phase_descriptor	First_Motion	Date	Hourmin	Seconds	GAU	Err	Coda_duration	Amplitude	Period
SALF	?	?	?	P	?	20220201	0232	54.870	GAU	1.00E-02	-1.00E+00	2100000000.0	-1.00E+00
SALF	?	?	?	S	?	20220201	0232	58.370	GAU	1.50E-02	-1.00E+00	1640000000.0	-1.00E+00
CEST	?	?	?	P	?	20220201	0232	49.270	GAU	2.00E-02	-1.00E+00	4690000.0	-1.00E+00
CEST	?	?	?	S	?	20220201	0232	53.880	GAU	1.00E-02	-1.00E+00	8730000.0	-1.00E+00
PAND	?	?	?	P	?	20220201	0232	50.480	GAU	2.50E-03	-1.00E+00	2850000000.0	-1.00E+00
PAND	?	?	?	S	?	20220201	0232	51.850	GAU	2.50E-03	-1.00E+00	5710000000.0	-1.00E+00

