date,fname,year,month,day,net,station,flag,tt,date_time,weight,amplitude,phase,channel
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79092.43,2021-01-26T21:58:12.430000,0.31581494212150574,42054898.4375,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79221.97,2021-01-26T22:00:21.970000,0.47591403126716614,95079645.01953125,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79781.39,2021-01-26T22:09:41.390000,0.6827479004859924,13099719.299316406,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79870.09999999999,2021-01-26T22:11:10.100000,0.3658417761325836,16325578.369140625,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80024.90999999999,2021-01-26T22:13:44.910000,0.5478909611701965,8299985.83984375,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80328.84999999999,2021-01-26T22:18:48.850000,0.9083919525146484,25666456.0546875,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80704.82999999999,2021-01-26T22:25:04.830000,0.5351921319961548,3946440.2465820312,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80830.37,2021-01-26T22:27:10.370000,0.47962310910224915,2352100.2197265625,P,HHN
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,77779.84999999999,2021-01-26T21:36:19.850000,0.43997859954833984,1717029.7088623047,S,HHN
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,77832.09,2021-01-26T21:37:12.090000,0.47755932807922363,1625032601.5625,S,HHN
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,78048.18999999999,2021-01-26T21:40:48.190000,0.40039896965026855,31606881.591796875,S,HHN
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,78297.87,2021-01-26T21:44:57.870000,0.4603700637817383,2316230515.625,S,HHN
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,78849.11,2021-01-26T21:54:09.110000,0.501987874507904,2879391.6931152344,S,HHN
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,78934.90999999999,2021-01-26T21:55:34.910000,0.39099082350730896,1446886695.3125,S,HHN
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,79108.53,2021-01-26T21:58:28.530000,0.3745664358139038,139678258.7890625,S,HHN
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,79887.56999999999,2021-01-26T22:11:27.570000,0.4426932632923126,40287682.373046875,S,HHN
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,80042.87,2021-01-26T22:14:02.870000,0.3350275754928589,18120724.12109375,S,HHN
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,80832.53,2021-01-26T22:27:12.530000,0.38736894726753235,2352100.2197265625,S,HHN
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,80847.87999999999,2021-01-26T22:27:27.880000,0.32122358679771423,2762145.523071289,S,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,77815.06999999999,2021-01-26T21:36:55.070000,0.7663236260414124,813027820.3125,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78030.95,2021-01-26T21:40:30.950000,0.6942642331123352,13696080.810546875,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78280.5,2021-01-26T21:44:40.500000,0.845993161201477,508328589.84375,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78830.7,2021-01-26T21:53:50.700000,0.8840541839599609,1623548.6679077148,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78874.03,2021-01-26T21:54:34.030000,0.8048581480979919,9657217.102050781,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78917.7,2021-01-26T21:55:17.700000,0.5492640137672424,605661316.40625,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79092.09,2021-01-26T21:58:12.090000,0.7304449677467346,40487278.076171875,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79221.87,2021-01-26T22:00:21.870000,0.8686352968215942,104409487.3046875,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79781.5,2021-01-26T22:09:41.500000,0.9248425960540771,16260810.05859375,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79869.76999999999,2021-01-26T22:11:09.770000,0.7566648125648499,18039767.700195312,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80025.04999999999,2021-01-26T22:13:45.050000,0.8731029629707336,10436491.088867188,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80041.06,2021-01-26T22:14:01.060000,0.42023852467536926,9975455.261230469,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80328.84999999999,2021-01-26T22:18:48.850000,0.8986877799034119,23651030.76171875,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80704.59999999999,2021-01-26T22:25:04.600000,0.6997475028038025,3794994.2932128906,P,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80830.25,2021-01-26T22:27:10.250000,0.3094576597213745,2105126.205444336,P,HHZ
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,78034.34999999999,2021-01-26T21:40:34.350000,0.8467764258384705,13696080.810546875,S,HHZ
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,78047.95,2021-01-26T21:40:47.950000,0.4329073131084442,16530701.293945312,S,HHZ
